Id,groupId,matchId,assists,boosts,damageDealt,DBNOs,headshotKills,heals,killPlace,killPoints,kills,killStreaks,longestKill,matchDuration,matchType,maxPlace,numGroups,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,vehicleDestroys,walkDistance,weaponsAcquired,winPoints,winPlacePerc
2f7847889f5095,02309779cd3b98,6aa70d9104ccab,0,1,100.0,0,0,6,29,0,1,1,21.84,1279,solo-fpp,96,90,1604,0,2354.0,0,0.0,0,0,816.9,6,0,0.7158
df68918932dbd3,d18c7a4d5c17db,2a7847286565a6,0,0,0.0,0,0,0,79,0,0,0,0.0,1393,duo-fpp,48,46,1527,0,0.0,0,0.0,0,0,101.8,2,0,0.1702
bb81f0e5951e32,7b810879f907ab,4e653c5adbdf96,0,2,66.13,1,0,0,47,1186,0,0,0.0,1904,duo-fpp,49,47,-1,0,0.0,0,0.0,0,0,3729.0,7,1510,0.8333
bcf2c39bfeb282,83ec33caa94022,886237cea6f460,0,0,0.0,0,0,0,87,1079,0,0,0.0,1384,squad-fpp,30,30,-1,0,0.0,0,0.0,0,0,44.95,1,1514,0.0345
64db54a544e27a,17545c3c6efb1e,66ac48f82bfe69,0,0,100.0,1,0,0,36,1277,1,1,12.97,1311,duo-fpp,48,45,-1,0,0.0,0,0.0,0,0,187.0,1,1462,0.1702
167cc1be05ca60,5af0898e4a580b,95b79552798df6,0,0,86.62,0,0,0,89,1365,0,0,0.0,1883,squad-fpp,28,27,-1,0,0.0,0,0.0,0,0,369.0,2,1533,0.0741
9591b14e10fe04,7fcf8618e30f27,e0cd49d6d8147c,0,0,125.8,1,1,1,35,0,1,1,13.73,1382,duo-fpp,49,47,1660,0,0.0,0,0.0,0,0,642.1,3,0,0.4583
115ae5f5a33b9f,7d6d0f604eb779,35cd50fd19246b,0,5,151.6,0,0,8,21,1011,1,1,0.0,2175,duo-fpp,48,45,-1,0,888.1,0,15.75,0,0,4596.0,6,1507,0.8511
64b8ba3c750153,003a14d4d2983b,3aa423d4d85655,0,2,174.7,2,1,9,33,0,1,1,96.0,1964,squad-fpp,21,21,1403,1,2811.0,0,38.16,0,0,3635.0,6,0,0.6
1ea0df8f8cf54c,b781bff7d8e770,6a0bdc0d213593,0,0,200.0,2,0,0,96,0,0,0,0.0,1367,squad-fpp,30,30,1433,0,0.0,0,0.0,0,0,41.23,1,0,0.0
82f611eee68601,788cb08cabc579,c72337523af115,0,0,111.4,1,0,0,85,1424,0,0,0.0,2011,duo-fpp,44,41,-1,0,0.0,0,0.0,0,0,33.3,1,1535,0.0
e48908e2b6d2dd,94b95c14614592,99b60fc01250f0,0,0,100.0,1,0,0,40,1667,1,1,8.695,1313,squad-fpp,30,28,-1,0,0.0,0,0.0,0,0,55.16,3,1569,0.1034
dff6c518edc997,71c77a5206eb0a,95447f7b6d0da0,0,0,0.0,0,0,0,89,1000,0,0,0.0,1885,squad,27,27,-1,0,0.0,0,0.0,0,0,121.3,4,1500,0.0769
d2f4ff295965d5,2ddb66f7c4146d,e0cead5d84fb3b,0,0,92.91,0,0,1,58,1322,0,0,0.0,1813,squad-fpp,30,30,-1,1,2853.0,0,0.0,0,0,687.6,3,1461,0.5517
29846e3cdad321,f0ddff0d030b3a,1ecf32259e5ca6,0,2,0.0,0,0,0,51,1298,0,0,0.0,1348,squad-fpp,30,28,-1,0,965.9,0,0.0,0,0,690.7,4,1554,0.6207
166d1b209ecb50,9283e222c24d9c,25f71562df42d6,3,3,580.8,2,1,1,2,0,6,2,173.0,1358,squad-fpp,26,26,1413,0,0.0,0,0.0,0,0,3604.0,5,0,1.0
84a2e75d672f7f,146ec184fc92a3,1e010c6b7f0985,0,0,265.8,3,2,0,10,1528,3,3,21.36,1397,squad-fpp,29,28,-1,1,0.0,0,0.0,0,0,409.1,2,1559,0.5714
e243bafba7f8a5,c127fe9416fa8a,d9fc11e6ad98ff,0,0,97.92,0,0,0,63,0,0,0,0.0,1914,squad,26,26,1509,1,0.0,0,0.0,0,0,1960.0,4,0,0.4
e5924a6760af06,beddee628b5b61,76277c92f870cb,2,5,500.8,3,0,6,3,0,5,2,112.2,1443,squad,28,27,1407,0,272.2,0,0.0,0,0,3558.0,12,0,1.0
6c912c3eed1f7f,e302f944d21dae,88ffa8020145f4,1,6,297.0,1,2,9,9,0,3,1,165.3,1360,squad-fpp,27,25,1490,0,0.0,0,0.0,0,0,1311.0,5,0,0.6538
491f3d59a92246,62711f5e9906c6,f8281e990d0753,1,3,310.5,3,1,6,10,0,3,1,39.05,1368,duo-fpp,48,45,1502,0,0.0,0,0.0,0,0,1220.0,6,0,0.6809
e26251da3d3690,3d7989e5ab8f54,42f0399465b652,0,0,100.0,0,0,0,36,0,1,1,7.685,1434,solo-fpp,94,93,1513,0,0.0,0,0.0,0,0,62.07,2,0,0.3333
7ba227eac68d22,a2ace5b95f4b98,d06fe28b4e53cf,1,0,230.5,1,0,0,25,1235,1,1,21.6,1380,squad,27,27,-1,0,0.0,0,0.0,0,0,1596.0,4,1512,0.6923
924ab10d59afc1,ca169fd9c92573,8f73e86e05732c,0,3,212.8,1,1,1,12,0,3,1,93.57,1332,squad-fpp,29,28,1428,0,0.0,0,0.0,0,0,1840.0,4,0,0.6429
6999f7ff9d78f8,863ba0167abc5a,16d4a349983913,0,0,0.0,0,0,0,78,0,0,0,0.0,1918,solo,83,82,1543,0,0.0,0,0.0,0,0,3.972,1,0,0.0488
114c82083a9d98,12bfa9d2143a62,c9284756fb304a,0,0,0.0,0,0,0,71,999,0,0,0.0,1970,duo,46,44,-1,0,0.0,0,0.0,0,0,263.5,1,1499,0.2222
e1a33d9ceb6001,b49e417c45cd05,4c66508a276eb2,0,0,0.0,0,0,0,91,1414,0,0,0.0,1481,duo,49,46,-1,0,0.0,0,0.0,0,0,0.0,0,1516,0.0
d7c2f7ca197067,01b2afb959ab91,01ef23f9e7c2b5,0,0,129.0,0,0,0,38,0,1,1,10.33,2064,solo-fpp,98,94,1559,0,0.0,0,0.0,0,0,275.3,3,0,0.3299
fd09dd65e4e270,bf763e32d4f816,a1a41ed99611f2,0,7,100.0,0,0,4,28,0,1,1,6.359,1825,squad-fpp,27,25,1485,1,1734.0,0,0.0,0,0,2226.0,7,0,0.6538
805028ec4734c9,2aaca67e2b769f,cd689451e2caac,0,0,83.6,0,1,0,32,1154,1,1,24.33,1402,squad,27,26,-1,0,0.0,0,0.0,0,0,715.8,4,1513,0.2692
0021584b434289,285705f7f3a48b,bdbd5646457db3,0,2,0.0,0,0,6,50,1261,0,0,0.0,1986,duo-fpp,49,48,-1,0,3436.0,0,0.0,0,0,1559.0,3,1600,0.625
e36b279ec4666a,49a8a987a64424,aa5bb299a7c6a1,0,4,471.6,0,3,2,4,1026,5,1,10.47,1451,solo-fpp,99,98,-1,0,0.0,0,3.072,0,0,1324.0,4,1507,0.898
b2232266e25d41,bd93307f3c0a5d,d6365ff01a8f4a,0,0,0.0,0,0,0,64,1044,0,0,0.0,1374,squad-fpp,29,26,-1,0,0.0,0,0.0,0,0,348.1,2,1513,0.3929
179d39121206c9,3a09f3d7eaa7f3,b27f56be55a46f,0,0,0.0,0,0,0,49,0,0,0,0.0,1403,solo,97,94,1500,0,0.0,0,0.0,0,0,1123.0,2,0,0.6771
73de1ca63033a7,5206660de4ce90,0ce0923b0e8b4a,0,0,0.0,0,0,0,63,0,0,0,0.0,1366,squad-fpp,26,26,1428,0,0.0,0,0.0,0,0,1399.0,5,0,0.44
1220090810e8bd,f623c34077eb28,c4c38b12f69653,0,0,0.0,0,0,0,58,0,0,0,0.0,1378,squad-fpp,28,27,1680,0,2528.0,0,42.82,0,0,543.7,4,0,0.3704
7035fd7d24cfc9,e97c10b405d4b8,bae6e161c230e1,0,1,0.0,0,0,1,61,0,0,0,0.0,1996,squad-fpp,27,26,1499,0,13030.0,0,0.0,0,0,744.5,3,0,0.5769
ad198f554c7406,de29768eaf0ea1,a1271eaa7d432d,2,3,244.7,1,1,2,24,0,1,1,74.93,1375,squad-fpp,26,26,1595,0,0.0,0,0.0,1,0,2848.0,4,0,0.92
61a46c6d8ea6d0,55d9a8c28eb458,2c281eb80f69dc,0,1,110.5,0,0,2,54,0,0,0,0.0,1806,squad-fpp,29,29,1490,0,478.4,0,0.0,0,0,3492.0,5,0,0.75
abcfc3f9d8c00b,ca77422441a293,4facbb5dd665bf,1,0,200.0,1,0,0,19,1194,2,2,16.13,1366,squad-fpp,30,28,-1,2,0.0,0,0.0,0,0,119.3,3,1532,0.2414
6d4d86d58395f9,53def1f7743c87,ee74711fed3219,0,1,19.97,1,0,0,30,1275,1,1,112.6,1338,squad,32,31,-1,0,0.0,0,0.0,0,0,408.4,1,1465,0.2581
f1a7def787b869,208bcf7fac1f7c,8f2acfb413aaf3,0,1,66.05,0,0,0,29,0,1,1,6.863,1968,squad-fpp,28,22,1314,0,1703.0,0,0.0,0,0,3774.0,8,0,0.6667
e285822b4eec84,0ccb3f01785295,61249510822b76,0,0,16.67,0,0,0,63,0,0,0,0.0,1359,solo-fpp,91,91,1529,0,0.0,0,0.0,0,0,213.0,2,0,0.4667
5149b53cc3042c,b9954136c75313,538fca4add9694,1,0,343.0,2,0,0,3,0,5,2,40.27,1860,squad-fpp,28,26,1519,0,0.0,0,0.0,1,0,653.6,5,0,0.4444
a557e5c1c3daca,c76a2e751a8ef0,3cda5ff4bd5e7b,0,4,56.33,0,0,5,17,1167,1,1,7.677,1879,squad,25,23,-1,0,2821.0,0,0.0,0,0,1751.0,4,1475,0.875
ddc0041f9d6815,355b80a4d506ec,2676de6e27b047,0,0,0.0,0,0,0,81,0,0,0,0.0,1317,squad,29,28,1455,0,357.8,0,0.0,0,0,185.0,2,0,0.25
3578400071a505,7aaf2c05bba93b,91a22632ca0ba5,0,2,49.71,0,0,0,51,0,0,0,0.0,1338,squad-fpp,28,27,1481,0,0.0,0,0.0,0,0,2534.0,3,0,0.8889
b086ceb9c7f966,d2e62bfc356a82,e2229491c36ef0,3,7,995.8,2,1,2,3,1522,7,1,214.1,1443,duo-fpp,49,49,-1,0,0.0,0,0.0,0,0,3618.0,6,1576,1.0
c363a61fb3fbaf,0c4183257dcae4,d9b27b078c935d,0,0,90.3,0,0,0,78,0,0,0,0.0,1399,solo-fpp,93,88,1514,0,0.0,0,0.0,0,0,60.75,1,0,0.1304
620ba65c7c55f1,ba6abd050070b5,de5799b62dda4c,0,0,137.7,1,0,0,70,0,0,0,0.0,1452,duo-fpp,50,47,1472,0,0.0,0,0.0,0,0,128.8,3,0,0.3061
bbbc7e117216d6,8b817b33177e1b,e27a5d4016cc0c,1,0,0.0,0,0,0,63,0,0,0,0.0,1374,squad-fpp,27,27,1447,0,0.0,0,0.0,0,0,1137.0,7,0,0.5
ac13025a087d16,81a45b88e1de8a,807d4693acae72,0,0,0.0,0,0,0,90,0,0,0,0.0,1278,solo-fpp,96,94,1499,0,0.0,0,0.0,0,0,7.557,0,0,0.0526
6c5cd09ad38e15,be23aa6562a8d8,43c2ce41923ead,0,1,269.3,1,0,3,60,1457,0,0,0.0,1281,duo,49,47,-1,0,0.0,0,0.0,0,0,1080.0,5,1627,0.4375
315a46143377f5,031132b123626e,cfbb2a7760e57e,0,3,725.9,3,2,12,2,0,6,2,225.6,1859,duo-fpp,49,48,1496,1,0.0,0,0.0,0,0,3096.0,5,0,0.8542
6f8d51dffe72f9,1837790d22defd,ebf7829a0d02c9,0,0,0.0,0,0,0,47,0,0,0,0.0,1760,squad-fpp,28,28,1500,0,0.0,0,0.0,0,0,110.1,1,0,0.6667
4615bf3f9846d5,2157be7dbb990e,5ae6573009d067,0,0,0.0,0,0,0,84,976,0,0,0.0,1314,duo-fpp,49,48,-1,0,0.0,0,0.0,0,0,192.1,1,1469,0.2083
56e8f9382883df,10cddf5c525f5e,c22b86f4e4050a,0,1,461.8,3,1,1,8,0,3,1,21.01,1268,squad,28,27,1473,1,0.0,0,0.0,0,0,2429.0,4,0,0.8889
8ef99467f0109d,5c2d1ac06cea63,d9d4a3e50cae75,0,0,280.9,0,0,0,6,1134,3,1,46.19,1899,solo-fpp,89,88,-1,0,0.0,0,0.0,0,0,3535.0,8,1517,0.6818
73fce2337044d1,2d254977100450,fcbba32bd086ee,0,1,0.0,0,0,4,57,1250,0,0,0.0,1310,squad-fpp,27,27,-1,0,0.0,0,69.99,0,0,1761.0,9,1463,0.6154
2a971ea2427e48,ebc50014e004f5,2fce751c6f0bc3,0,0,100.0,1,0,0,80,0,0,0,0.0,1774,squad-fpp,28,28,1454,0,0.0,0,0.0,0,0,271.2,2,0,0.1481
710416700e2823,44cc9f7d2428f8,67d508247f4d10,0,4,156.1,0,1,3,22,0,1,1,15.52,1933,solo-fpp,94,94,1516,0,5992.0,0,0.0,0,0,2741.0,4,0,0.8925
b873f2ed4e0b45,a37b6c699dde83,69f854bbfdf3a2,0,0,100.0,1,0,0,38,0,1,1,1.496,1359,duo,49,46,1479,0,0.0,0,0.0,0,0,45.35,1,0,0.0417
fcadcf48b09021,ccdebb4503b814,238e3388e9a8ad,0,0,100.0,1,0,1,68,1257,0,0,0.0,1234,squad-fpp,29,29,0,1,0.0,0,0.0,0,0,235.4,3,1479,0.3571
0f9f51d193bed8,8429daabf1af5d,6f85f1bfb3275a,0,0,0.0,0,0,0,79,1186,0,0,0.0,1455,squad-fpp,29,29,-1,0,0.0,0,0.0,0,0,32.29,1,1399,0.0714
ee273c3d7e6fb9,72f927092c8f56,08b3c0ae5e0ec0,0,2,149.0,1,0,1,26,0,1,1,26.53,1389,duo,49,47,1500,0,0.0,0,33.63,1,0,2430.0,7,0,0.7292
bbad8af07e73e3,4649f8b31e78f3,dd521d173aadc4,1,3,223.2,0,0,2,25,0,1,1,25.64,1299,squad,29,29,1423,2,0.0,0,0.0,0,0,2267.0,4,0,0.75
dcb385ab70d20a,f38050a2aceb56,e15e98f055efc4,0,2,465.7,1,2,1,4,1684,4,1,23.98,1344,squad-fpp,30,30,-1,0,0.0,0,0.0,0,0,3651.0,4,1598,0.8966
008e0899c1172e,484f9c9cf7e9f9,1001e511d254b6,1,1,329.3,0,0,6,43,1368,0,0,0.0,1367,squad,27,27,-1,0,0.0,0,0.0,0,0,2820.0,4,1531,0.7308
de0c8c07baf8b7,5cc65eaa845188,6352203d5b9d5b,0,1,180.9,1,0,4,28,1247,1,1,3.972,1750,squad-fpp,25,25,-1,0,2748.0,0,0.0,0,0,4057.0,5,1517,0.7917
61eebf01b777d1,0892d4fcec0414,7b227681c8442d,2,1,53.9,0,0,1,71,1187,0,0,0.0,1263,duo-fpp,49,46,-1,0,0.0,0,0.0,0,0,515.1,2,1474,0.4792
dc096f1bfc19e1,d96d854e3a6e83,141292a39f9e83,2,3,655.1,6,1,3,1,0,7,2,107.6,1848,squad,27,23,2242,1,4360.0,0,0.0,0,0,2441.0,6,0,0.9231
89285d73136c75,f9abea49a80a32,48b0f2d2e35036,2,1,273.2,2,1,1,20,1290,2,2,2.314,1455,squad-fpp,29,29,-1,0,0.0,0,0.0,0,0,1803.0,5,1487,0.6786
2d59720c34b004,c3f9dacc57cfe4,da4cdc21808eef,0,0,33.39,0,0,0,89,0,0,0,0.0,1354,squad,28,27,1500,0,0.0,0,0.0,0,0,264.6,3,0,0.037
59ffbb52eacdeb,c1af26edfba3c1,2ea35a6e25296d,0,0,210.0,2,1,0,23,0,2,2,20.48,1417,duo-fpp,47,46,1531,0,0.0,0,0.0,0,0,150.6,1,0,0.1957
fa9f1a92e4294d,56dc979a16fcd7,f349270abb3e20,0,0,0.0,0,0,0,92,1030,0,0,0.0,1824,duo-fpp,50,48,-1,0,0.0,0,0.0,0,0,49.2,3,1502,0.0816
96e8e9105be855,2a85486833f93f,0d9130c811a323,1,1,318.9,0,0,1,9,1152,3,1,6.9,1460,solo,98,94,-1,0,0.0,0,0.0,0,0,1376.0,5,1516,0.8969
d88fb7106ed238,8b9d492d739998,38a38dcc88461f,1,5,310.5,3,0,4,4,1736,4,2,35.55,1376,squad-fpp,28,27,-1,0,0.0,0,0.0,0,0,3939.0,4,1713,1.0
47e2a8a315a252,a0761fc7f6f9a2,35c340b5637520,0,1,0.0,0,0,0,24,1447,0,0,0.0,1874,duo-fpp,21,21,-1,0,0.0,0,0.0,0,0,1852.0,7,1541,0.5
8507221962d1b7,0e1a3a44701714,28e508058b132a,0,0,78.69,0,0,0,58,0,0,0,0.0,1827,squad-fpp,30,29,1480,0,0.0,0,0.0,0,0,2277.0,4,0,0.4138
0c73b917c6cfbc,bc8d24a24bf4d1,cbef0ca9f67a93,0,2,0.0,0,0,2,68,1122,0,0,0.0,1831,squad-fpp,30,29,-1,0,0.0,0,0.0,0,0,847.0,6,1499,0.3448
bb9df610bcdeba,8eb36b4be3ca0b,a97988cd061c0d,0,0,233.8,2,1,0,11,1442,3,2,8.512,1430,duo-fpp,48,46,-1,0,0.0,0,0.0,0,0,187.2,2,1541,0.2766
4de600bc8a8948,b0e4523cf9156d,6b3c15eba7dd6b,0,0,0.0,0,0,0,91,0,0,0,0.0,1393,squad-fpp,26,26,1430,0,0.0,0,0.0,0,0,0.0,0,0,0.0
57be0f135b9bd8,9ec0e73734c9da,4c412095ad2498,1,4,160.7,1,0,1,30,0,1,1,22.27,1421,duo-fpp,44,43,1503,0,302.4,0,0.0,0,0,1582.0,6,0,0.6279
01740a74958e16,2f0c4d30d154b8,95513111eff5f5,0,2,322.2,2,1,2,16,0,2,1,53.65,1434,duo-fpp,48,46,1583,0,0.0,0,0.0,0,0,644.4,4,0,0.5532
5163f371e165bd,5b72a30ee83246,98d55512126bdd,0,0,98.49,0,0,0,49,0,0,0,0.0,1244,squad-fpp,27,27,1490,0,0.0,0,0.0,0,0,33.54,2,0,0.8846
95282560689e49,4ca5a00f5b76b1,8b13328ef157eb,0,0,0.0,0,0,0,85,1371,0,0,0.0,1782,squad,31,29,-1,0,0.0,0,0.0,0,0,57.23,0,1523,0.1333
096f9c63c7b797,ff2d28675f0878,cb034688ea3538,1,0,91.18,0,0,0,78,0,0,0,0.0,1406,squad-fpp,28,28,1497,0,0.0,0,0.0,0,0,116.1,1,0,0.1852
decbc5e70c1fb6,d8fd4043af4844,fa8d14e938de83,0,0,173.0,2,0,0,16,1322,2,1,21.45,1205,squad-fpp,29,28,-1,0,0.0,0,0.0,0,0,306.2,4,1500,0.2857
1738f23e8816b4,87a01b84871cf1,1b57f1d5ca5ef9,0,0,70.52,0,0,0,76,1496,0,0,0.0,1883,squad,28,27,-1,0,0.0,0,0.0,0,0,53.51,1,1490,0.2593
07a328108aff1b,f8468f0ddfa70a,447747fb898f58,0,0,0.0,0,0,0,72,1236,0,0,0.0,1853,squad,25,23,-1,0,0.0,0,0.0,0,0,335.2,4,1459,0.2083
e7ffca895f0ecb,553881c5c6ffad,e9d60932bb8714,0,1,161.7,0,0,2,61,1201,0,0,0.0,1194,squad-fpp,30,30,-1,0,0.0,0,0.0,0,0,1181.0,3,1505,0.5172
3b608dcc7bfa45,bc018e920d0b82,35782db655be81,0,0,116.3,0,0,0,42,0,0,0,0.0,1383,squad-fpp,24,22,1410,0,444.9,0,496.8,0,0,1988.0,5,0,0.6957
f0d3507d919a2f,46efd792342cc7,40573c8c4b3bb7,1,1,54.18,0,0,8,44,0,0,0,0.0,1941,squad-fpp,27,27,1438,1,0.0,0,0.0,0,0,2551.0,7,0,0.7308
e10ab9d4cc874a,d42b8b4f6e0dee,2e7a5037cd0cf4,0,3,95.0,0,1,6,28,0,1,1,23.41,1315,duo,48,48,1586,0,779.0,0,0.0,0,0,1392.0,6,0,0.6596
09751f8eca732d,1951ab3f1344d1,a9756a585583d1,0,0,0.0,0,0,0,44,1605,0,0,0.0,1929,duo-fpp,49,47,-1,0,0.0,0,0.0,0,0,18.47,1,1613,0.875
849b0de550615e,de7341a9a47292,e612c476dc4e4f,1,0,129.6,1,1,1,26,1015,1,1,37.58,1835,squad,28,28,-1,0,3529.0,0,0.0,0,0,806.6,4,1496,0.5185
d0c9e3bf84ee17,7c8efbdeafd7a4,989c6aa70b75c2,1,4,226.5,1,1,1,22,1508,1,1,24.68,1308,squad-fpp,28,27,-1,0,0.0,0,0.0,0,0,3171.0,4,1530,0.9259
5e37e4c74bbba0,665086164815d0,1836d0762c0db0,0,1,52.88,0,0,1,50,1322,0,0,0.0,1431,duo-fpp,47,46,-1,0,599.0,0,0.0,0,0,899.8,3,1548,0.5652
0b457100a2f955,aa94ac1c9dc75d,242cab4321c67c,0,0,203.4,1,0,0,75,1131,0,0,0.0,1373,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,709.2,2,1518,0.2593
4f8ef40e56d592,819d9cd959eab7,11ce713791f30b,0,0,122.3,1,0,1,32,0,1,1,15.62,1833,squad,28,26,1458,0,0.0,0,0.0,0,0,207.3,5,0,0.1852
7b399fbade55e5,0ad8a884887595,fcc23fb8a2fc47,0,1,240.4,1,0,0,23,0,1,1,13.01,1360,duo-fpp,49,49,1484,1,0.0,0,0.0,0,0,2238.0,8,0,0.9583
5a1415f9ac163b,43d7bbabb47d39,1a617334bafd1b,1,0,370.2,3,0,0,91,1582,0,0,0.0,1773,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,34.61,1,1532,0.0
ac4aa7763c5699,9d52c7fb01aeac,3b1a02ef4b4a76,0,0,0.0,0,0,0,62,0,0,0,0.0,1366,squad,28,28,1473,0,0.0,0,0.0,0,0,540.5,3,0,0.4444
374d35fe7b8ce4,c38e246c34a1ff,7ea51bc114e8a1,0,0,25.74,0,0,0,84,0,0,0,0.0,1301,squad-fpp,27,27,1033,0,0.0,0,0.0,0,0,108.6,2,0,0.1154
0127c774ce2ea6,1cf4f0c13c6664,aa4ee3afac1f23,0,0,250.4,2,0,0,83,1345,0,0,0.0,1264,duo,48,47,-1,0,0.0,0,0.0,0,0,82.54,1,1622,0.1064
4282cd3253a762,24249689491ef3,937fb16d23a43d,0,1,200.0,1,1,2,20,1355,2,1,7.059,1379,squad,27,27,-1,0,0.0,0,0.0,0,0,377.6,3,1460,0.3077
4c0c51e677089a,5f59b2970cc837,2870e6d331821c,0,0,0.0,0,0,0,51,0,0,0,0.0,1787,squad-fpp,29,29,1500,0,712.8,0,0.0,0,0,2120.0,6,0,0.7857
f723dbfe887bf6,86d919d761078f,b399bd65eba066,1,4,337.0,0,1,3,24,1452,1,1,307.1,1796,squad-fpp,30,30,0,0,6567.0,0,0.0,0,0,3343.0,4,1533,0.8621
5d49bf3e6cf0b9,ea22d5547edef2,7b9d02b9ea4a16,0,0,284.7,2,0,0,9,1309,3,2,5.429,1439,duo,43,42,-1,0,0.0,0,0.0,0,0,149.3,2,1522,0.3571
5d861abd3adea5,ecf17879c64700,3bbcac68010552,0,0,194.6,1,0,0,96,0,0,0,0.0,1384,squad,28,28,1467,0,0.0,0,0.0,0,0,47.91,1,0,0.0
85eedbcbd0bcb5,330da9c1693dfe,0424556e346b10,0,0,0.0,0,0,0,74,0,0,0,0.0,1803,squad-fpp,29,28,1500,1,0.0,0,0.0,0,0,466.5,3,0,0.25
